Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
26-05-2025 09:00,KRDMA,35.0,39.6,35.0,38.9,34182357.0,0.7,3.9,0.08,5031.58,3.9,18623088.5,83.55,0.18,True,60.45,2.5,2.71,-0.21,2025-05-26,11.02,0,,30.76,41.42,False,False
20-05-2025 09:00,BALSU,18.42,25.02,18.3,24.6,147396307.0,0.42,6.18,0.64,870.17,6.18,58295289.9,152.84,0.07,True,74.78,0.54,0.1,0.44,2025-05-20,33.7,0,,ATL,ATH,False,False
12-05-2025 09:00,PSDTC,74.15,106.0,74.05,106.0,1814220.0,0.0,31.85,1.66,1818.67,31.85,977556.8,85.59,0.0,True,68.53,-0.08,-2.01,1.93,2025-05-12,42.95,0,,68.0,126.0,True,False
12-05-2025 09:00,MRGYO,0.92,1.23,0.91,1.15,1409723167.0,0.08,0.24,0.02,1061.29,0.24,509623942.5,176.62,0.33,True,60.87,-0.02,-0.03,0.01,2025-05-12,27.54,0,,0.77,1.31,False,False
12-05-2025 09:00,TERA,31.14,41.98,29.92,41.62,428307324.44,0.36,10.48,2.79,275.93,10.48,213538223.56,100.58,0.03,True,91.61,5.62,2.94,2.68,2025-05-12,46.94,0,,7.75,ATH,False,False
05-05-2025 09:00,PRDGS,5.49,6.45,5.31,6.45,161520700.0,0.0,0.96,0.11,772.73,0.96,29801124.2,442.0,0.0,True,66.51,-0.03,-0.14,0.11,2025-05-05,22.16,0,,4.26,ATH,False,False
05-05-2025 09:00,CASA,71.5,104.6,71.5,104.6,783110.0,0.0,33.1,2.7,1125.93,33.1,206354.7,279.5,0.0,True,74.1,-1.59,-3.5,1.91,2025-05-05,60.92,0,,58.35,ATH,True,False
28-04-2025 09:00,ADESE,0.42,0.53,0.42,0.53,2768903895.0,0.0,0.11,0.01,714.29,0.11,1180348884.5,134.58,0.0,True,70.45,0.0,-0.0,0.01,2025-04-28,27.88,0,,0.35,ATH,False,False
28-04-2025 09:00,LRSHO,2.85,3.96,2.81,3.96,359056891.0,0.0,1.11,0.16,616.13,1.11,141706562.9,153.38,0.0,True,79.56,0.17,0.03,0.14,2025-04-28,45.59,0,,2.0,ATH,False,False
28-04-2025 09:00,EDIP,22.7,29.48,21.98,28.24,31522492.0,1.24,5.54,0.86,541.95,5.54,9861761.1,219.64,0.22,True,68.33,0.4,-0.2,0.59,2025-04-28,27.32,0,,17.38,ATH,False,False
14-04-2025 09:00,OZSUB,18.52,22.88,17.64,22.04,22403435.0,0.84,3.52,0.34,926.24,3.52,10691090.9,109.55,0.24,True,64.1,0.58,0.32,0.26,2025-04-14,19.14,0,,15.53,ATH,False,False
14-04-2025 09:00,SUWEN,8.33,10.5,8.06,10.3,60553605.5,0.2,1.97,0.15,1214.67,1.97,17083998.8,254.45,0.1,True,51.66,-0.51,-0.54,0.03,2025-04-14,23.92,0,,7.84,12.68,True,True
14-04-2025 09:00,BOBET,18.73,23.58,18.73,23.32,83293646.0,0.26,4.59,0.03,15200.0,4.59,20411642.9,308.07,0.06,True,54.71,-0.46,-0.3,-0.16,2025-04-14,25.04,0,,17.52,25.86,True,True
14-04-2025 09:00,ENERY,3.84,4.74,3.76,4.57,594346372.0,0.17,0.73,0.1,625.27,0.73,246153559.86,141.45,0.23,True,65.46,-0.01,-0.05,0.04,2025-04-14,19.01,0,,3.08,4.8,False,False
