Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,direnc,destek,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
20-04-2026 06:00,KAREL,9.99,11.61,9.83,11.61,75137926.0,0.0,1.62,0.24,580.67,1.62,48054542.9,56.36,0.0,True,68.63,0.21,0.02,0.19,2026-04-20,15.75,0,,ATH,8.06,False,False
20-04-2026 06:00,IHLGM,2.1,2.47,2.09,2.4,389372208.0,0.07,0.3,0.03,867.74,0.3,145279677.0,168.02,0.23,True,57.36,-0.09,-0.13,0.04,2026-04-20,13.21,0,,3.58,1.82,True,False
20-04-2026 06:00,SELVA,2.48,2.95,2.4,2.95,654848045.0,0.0,0.47,0.05,803.85,0.47,413570710.2,58.34,0.0,True,61.66,0.08,0.11,-0.03,2026-04-20,27.71,0,,4.2,1.71,False,False
13-04-2026 06:00,SOKE,15.87,18.07,15.84,18.05,39539924.0,0.02,2.18,0.54,300.74,2.18,24863721.9,59.03,0.01,True,86.9,1.31,0.83,0.48,2026-04-13,13.74,0,,ATH,10.2,False,False
13-04-2026 06:00,HATEK,15.2,16.59,14.92,16.58,30744946.0,0.01,1.38,0.33,315.66,1.38,18726192.8,64.18,0.01,True,51.71,-0.66,-0.88,0.22,2026-04-13,8.51,0,,18.5,13.35,True,False
13-04-2026 06:00,ALCAR,740.0,862.0,730.0,829.0,503393.0,33.0,89.0,2.35,3687.23,89.0,211278.2,138.26,0.37,True,48.07,-43.34,-39.04,-4.29,2026-04-13,9.51,0,,1010.0,809.0,False,False
13-04-2026 06:00,EGPRO,31.1,38.2,30.22,37.9,23460874.0,0.3,6.8,1.43,376.86,6.8,8839367.9,165.41,0.04,True,76.09,1.89,1.03,0.86,2026-04-13,20.7,0,,ATH,24.7,False,False
13-04-2026 06:00,MEGAP,2.4,2.72,2.27,2.72,12916492.0,0.0,0.32,0.04,720.51,0.32,8382717.5,54.08,0.0,True,42.65,-0.34,-0.33,-0.01,2026-04-13,9.68,0,,5.0,2.16,True,True
13-04-2026 06:00,GRNYO,14.5,17.3,14.13,17.15,4200680.0,0.15,2.65,0.09,2945.98,2.65,2391245.7,75.67,0.06,True,56.8,0.52,0.86,-0.34,2026-04-13,16.67,0,,21.7,13.9,False,False
13-04-2026 06:00,IZFAS,51.65,73.5,49.44,72.35,60362725.0,1.15,20.7,1.72,1106.29,20.7,24130811.5,150.15,0.06,True,68.6,2.62,1.75,0.87,2026-04-13,40.62,0,,ATH,45.0,False,False
13-04-2026 06:00,DERIM,36.7,40.62,36.06,40.2,5507038.0,0.42,3.5,0.63,452.05,3.5,2510380.6,119.37,0.12,True,56.96,-0.11,-0.4,0.29,2026-04-13,8.65,0,,46.3,32.12,False,False
13-04-2026 06:00,IZENR,9.55,10.9,9.52,10.6,493463178.0,0.3,1.05,0.18,473.77,1.05,240175900.6,105.46,0.29,True,61.67,0.27,0.28,-0.01,2026-04-13,10.53,0,,11.94,8.54,False,False
13-04-2026 06:00,BORLS,4.38,6.39,4.38,6.39,418749854.0,0.0,2.01,0.35,469.41,2.01,206231826.2,103.05,0.0,True,46.56,-2.85,-3.71,0.86,2026-04-13,60.15,0,,33.16,2.59,True,True
13-04-2026 06:00,MACKO,36.24,42.1,36.0,41.66,19230849.0,0.44,5.42,1.51,259.89,5.42,12225863.9,57.3,0.08,True,61.22,0.09,-1.13,1.22,2026-04-13,13.89,0,,48.1,23.96,False,False
13-04-2026 06:00,OSMEN,7.4,8.37,7.17,8.3,29299622.0,0.07,0.9,0.07,1150.0,0.9,17957772.4,63.16,0.08,True,51.39,-0.35,-0.33,-0.01,2026-04-13,12.47,0,,9.5,6.92,False,False
13-04-2026 06:00,ESEN,3.94,4.3,3.88,4.28,624361731.0,0.02,0.34,0.08,341.56,0.34,283182265.9,120.48,0.06,True,40.75,-1.23,-1.4,0.17,2026-04-13,7.0,0,,16.77,3.47,False,False
13-04-2026 06:00,ETILR,3.96,4.65,3.86,4.53,91895643.0,0.12,0.57,0.08,630.77,0.57,40026273.0,129.59,0.21,True,58.53,-0.07,-0.15,0.07,2026-04-13,14.39,0,,6.54,3.37,True,False
13-04-2026 06:00,SKYLP,269.75,329.25,257.0,329.25,890163.0,0.0,59.5,4.38,1260.0,59.5,540014.2,64.84,0.0,True,65.02,26.99,29.73,-2.74,2026-04-13,22.06,0,,361.0,71.4,False,False
13-04-2026 06:00,IHYAY,1.78,1.94,1.76,1.9,71888426.0,0.04,0.12,0.02,531.58,0.12,43656688.2,64.67,0.33,True,45.09,-0.14,-0.16,0.01,2026-04-13,4.4,0,,3.52,1.63,True,True
13-04-2026 06:00,CLEBI,1858.0,2157.0,1800.0,2157.0,633442.0,0.0,299.0,54.5,448.62,299.0,335467.3,88.82,0.0,True,68.73,58.75,23.44,35.32,2026-04-13,14.73,0,,3285.0,1503.0,False,False
